section,field_key,field_label,question_text,response_type,options_pipe_delimited,show_if,display_order
dog_demographics_optional,dog_name,Pet name,What is your pet's name?,text,,consent_dog_data = yes,1
dog_demographics_optional,dog_age_years,Pet age (years),"How old is your pet? If you are unsure, please provide your best estimate. Full years:",number,,consent_dog_data = yes,2
dog_demographics_optional,dog_age_months,Pet age (months),Additional months:,number,,consent_dog_data = yes,3
dog_demographics_optional,dog_lives_with_you,Time living with caregiver,How long has this pet lived with you?,single_select,Up to one month|Up to 6 months|Up to one year|Over one year,consent_dog_data = yes,4
dog_demographics_optional,dog_sex,Pet sex,What is your pet's sex?,single_select,Male|Female,consent_dog_data = yes,5
dog_demographics_optional,dog_neuter_status,Neuter status,Is your pet neutered or spayed?,single_select,Yes|No|Not sure,consent_dog_data = yes,6
dog_demographics_optional,dog_breed,Breed,What is your pet's breed? Please put "Mixed" if the pet is not a single known breed.,text,,consent_dog_data = yes,7
dog_demographics_optional,dog_weight,Approximate weight,What is your pet's approximate weight?,single_select,10 lbs or less|11–20 lbs|20–45 lbs|45–65 lbs|65–90 lbs|90–110 lbs|Over 110 lbs|I do not know,consent_dog_data = yes,8
dog_demographics_optional,dogs_in_household,Dogs in household,How many dogs live in your household (including this pet)?,number,,consent_dog_data = yes,9
dog_demographics_optional,other_animals,Other animals in household,Do you have any other animals (other than dogs) that live in your household?,single_select_plus_text,No|Yes (please list species),consent_dog_data = yes,10
human_demographics_optional,human_living_with_dogs_years,Years living with dogs,How many years have you been living with dogs?,single_select,Less than one year|1–3 years|4–10 years|More than 10 years,consent_human_data = yes,1
human_demographics_optional,human_dog_activity,Pet-related activity,Are you involved in any dog- or pet-related professional or non-professional activity?,single_select_plus_multiselect,Yes|No,consent_human_data = yes,2
human_demographics_optional,human_dog_activity_types,Activity type,Please specify,multi_select,Veterinarian|Dog trainer|Pet behavior consultant|Pet-related researcher|Groomer|Pet sitter / dog walker|Volunteer|Other,consent_human_data = yes AND human_dog_activity = Yes,3
human_demographics_optional,human_work_with_dogs_years,Years working with dogs,How many years have you been working with dogs or pets professionally?,single_select,Less than one year|1–3 years|3–10 years|More than 10 years,consent_human_data = yes AND human_dog_activity = Yes,4
human_demographics_optional,human_education,Education,What is the highest level of education you have completed?,single_select,"Some high school or less|High school diploma or GED|Some college, but no degree|Associate or technical degree|Bachelor's degree|Graduate or professional degree|Prefer not to say",consent_human_data = yes,5
human_demographics_optional,human_age_band,Age,How old are you?,single_select,18–24 years old|25–34 years old|35–44 years old|45–54 years old|55–64 years old|65+ years old|Prefer not to say,consent_human_data = yes,6
human_demographics_optional,human_gender,Gender,How do you describe yourself?,single_select,Male|Female|Non-binary / third gender|Prefer to self-describe|Prefer not to say,consent_human_data = yes,7
human_demographics_optional,future_contact,Future contact permission,Would you like to be notified about future study opportunities or receive updates about study findings?,single_select,No|Yes,consent_human_data = yes,8
human_demographics_optional,contact_name,Contact name,What is your name (first and last)?,text,,consent_human_data = yes AND future_contact = Yes,9
human_demographics_optional,contact_email,Email,What is your email address?,email,,consent_human_data = yes AND future_contact = Yes,10
